serialisation,size,count,shrinking_power
"['&', ['V', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]], ['->', ['&', ['!', 'inspiratoryPhaseEnd'], ['&', ['X', 'inspiratoryPhaseEnd'], ['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]]], ['&', ['X', ['|', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]], ['&', ['X', 'RM'], ['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]]]], ['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]]]], ['->', 'inspiratoryPhaseEnd', ['|', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]], ['&', ['X', 'RM'], ['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]]]]]",158,2,316
"['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['&', ['&', 'expiratoryPauseButton', ['<=', 'expClock', 'apneaLagTime']], ['!', 'patientBreathingRequest']]], ['&', ['X', ['&', ['&', 'expiratoryPauseButton', ['<=', 'expClock', 'apneaLagTime']], ['!', 'patientBreathingRequest']]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['|', ['!', ['U', ['&', ['!', 'buttonUnPressOr60Seconds'], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]], ['&', ['!', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']], ['!', 'buttonUnPressOr60Seconds']]]], ['V', ['|', ['&', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['&', ['&', 'expiratoryPauseButton', ['<=', 'expClock', 'apneaLagTime']], ['!', 'patientBreathingRequest']], ['|', ['!', ['U', ['&', ['!', 'buttonUnPressOr60Seconds'], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]], ['&', ['!', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']], ['!', 'buttonUnPressOr60Seconds']]]], ['V', ['|', ['&', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]]]",139,2,278
"['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', ['&', ['&', 'expiratoryPauseButton', 'ExpiratoryPhaseEnd'], ['!', 'patientBreathingRequest']]], ['&', ['X', ['&', ['&', 'expiratoryPauseButton', 'ExpiratoryPhaseEnd'], ['!', 'patientBreathingRequest']]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['|', ['!', ['U', ['&', ['!', 'buttonUnPressOr60Seconds'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]], ['&', ['!', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']], ['!', 'buttonUnPressOr60Seconds']]]], ['V', ['|', ['&', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', ['&', ['&', 'expiratoryPauseButton', 'ExpiratoryPhaseEnd'], ['!', 'patientBreathingRequest']], ['|', ['!', ['U', ['&', ['!', 'buttonUnPressOr60Seconds'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]], ['&', ['!', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']], ['!', 'buttonUnPressOr60Seconds']]]], ['V', ['|', ['&', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]]]",133,2,266
"['&', ['V', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']]]], ['->', ['&', ['!', 'inspiratoryPhaseEnd'], ['&', ['X', 'inspiratoryPhaseEnd'], ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']]]]]]], ['&', ['X', ['|', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']]]], ['&', ['X', ['->', 'inspiratoryPauseButton', ['&', ['&', 'inspiratoryPause', 'inValveClose'], 'outValveClose']]], ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']]]]]]]], ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']]]]]]]], ['->', 'inspiratoryPhaseEnd', ['|', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']]]], ['&', ['X', ['->', 'inspiratoryPauseButton', ['&', ['&', 'inspiratoryPause', 'inValveClose'], 'outValveClose']]], ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']]]]]]]]]",128,2,256
"['&', ['V', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']]]], ['->', ['&', ['!', 'expiratoryPhaseEnd'], ['&', ['X', 'expiratoryPhaseEnd'], ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']]]]]]], ['&', ['X', ['|', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']]]], ['&', ['X', ['->', 'expiratoryPauseButton', ['&', ['&', 'expiratoryPause', 'inValveClose'], 'outValveClose']]], ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']]]]]]]], ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']]]]]]]], ['->', 'expiratoryPhaseEnd', ['|', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']]]], ['&', ['X', ['->', 'expiratoryPauseButton', ['&', ['&', 'expiratoryPause', 'inValveClose'], 'outValveClose']]], ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']]]]]]]]]",128,2,256
"['&', ['V', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]], ['->', ['&', ['!', 'SelfTestFail'], ['&', ['X', 'SelfTestFail'], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]]], ['&', ['X', ['|', ['!', ['U', ['&', ['!', 'off'], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]], ['&', ['!', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]], ['!', 'off']]]], ['V', ['|', ['&', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]]]], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]]]], ['->', 'SelfTestFail', ['|', ['!', ['U', ['&', ['!', 'off'], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]], ['&', ['!', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]], ['!', 'off']]]], ['V', ['|', ['&', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]]]]]",118,2,236
"['V', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]], ['->', ['&', ['!', 'inspiratoryPhaseEnd'], ['&', ['X', 'inspiratoryPhaseEnd'], ['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]]], ['&', ['X', ['|', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]], ['&', ['X', 'RM'], ['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]]]], ['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]]]]",112,2,224
"['&', ['V', ['&', ['&', 'PSVMode', 'expiratoryPhase'], ['X', ['!', ['&', 'PSVMode', 'expiratoryPhase']]]], ['->', ['&', ['!', ['>', 'dropPAW', 'ITS_PSV']], ['&', ['X', ['>', 'dropPAW', 'ITS_PSV']], ['!', ['&', ['&', 'PSVMode', 'expiratoryPhase'], ['X', ['!', ['&', 'PSVMode', 'expiratoryPhase']]]]]]], ['&', ['X', ['|', ['&', ['&', 'PSVMode', 'expiratoryPhase'], ['X', ['!', ['&', 'PSVMode', 'expiratoryPhase']]]], ['&', ['X', 'patientBreathingRequest'], ['!', ['&', ['&', 'PSVMode', 'expiratoryPhase'], ['X', ['!', ['&', 'PSVMode', 'expiratoryPhase']]]]]]]], ['!', ['&', ['&', 'PSVMode', 'expiratoryPhase'], ['X', ['!', ['&', 'PSVMode', 'expiratoryPhase']]]]]]]], ['->', ['>', 'dropPAW', 'ITS_PSV'], ['|', ['&', ['&', 'PSVMode', 'expiratoryPhase'], ['X', ['!', ['&', 'PSVMode', 'expiratoryPhase']]]], ['&', ['X', 'patientBreathingRequest'], ['!', ['&', ['&', 'PSVMode', 'expiratoryPhase'], ['X', ['!', ['&', 'PSVMode', 'expiratoryPhase']]]]]]]]]",94,2,188
"['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['>=', 'expClock', 'apneaLagTime']], ['&', ['X', ['>=', 'expClock', 'apneaLagTime']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['|', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['&', ['X', ['&', ['&', ['&', ['&', 'apnea', 'PCVMode'], ['=', 'RR', 'RR_AP']], ['=', 'P_insp', 'P_inspAP']], ['=', 'ItoE', 'ItoE_AP']]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['>=', 'expClock', 'apneaLagTime'], ['|', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['&', ['X', ['&', ['&', ['&', ['&', 'apnea', 'PCVMode'], ['=', 'RR', 'RR_AP']], ['=', 'P_insp', 'P_inspAP']], ['=', 'ItoE', 'ItoE_AP']]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]]]",94,2,188
"['->', ['&', ['!', 'inspiratoryPhaseEnd'], ['&', ['X', 'inspiratoryPhaseEnd'], ['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]]], ['&', ['X', ['|', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]], ['&', ['X', 'RM'], ['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]]]], ['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]]]",92,2,184
